R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.327852	0.359844	0.190273	0.159199	0.00481445	0.00552734	0.000205078	0.000166016
1	0.0763281	0.0522461	0.0936328	0.106475	0.00170898	0.00143555	0.000332031	0.000292969
2	0.0798437	0.0796875	0.0529297	0.0604687	0.00417969	0.00447266	0.000458984	0.000380859
3	0.0241992	0.0179492	0.0379004	0.0402051	0.00192383	0.00152344	0.00046875	0.000449219
4	0.0427539	0.0459961	0.0331445	0.0334277	0.0040625	0.00376953	0.000664063	0.000585937
5	0.0184473	0.0154492	0.029834	0.0299512	0.00206055	0.00210937	0.000849609	0.000771484
6	0.0340527	0.0357422	0.0293066	0.0283789	0.00394531	0.00405273	0.00111328	0.0009375
7	0.0186426	0.0177832	0.0278809	0.028125	0.00291016	0.00244141	0.00124023	0.0012207
8	0.0306152	0.0320801	0.0270313	0.0274316	0.0047168	0.00473633	0.00173828	0.00157227
9	0.0207129	0.0203125	0.027168	0.0261133	0.00334961	0.00333008	0.00208008	0.00197266
10	0.0309766	0.0325879	0.027998	0.0271777	0.00478516	0.0052832	0.00280273	0.00256836
11	0.0262305	0.0240918	0.0279785	0.0274805	0.00430664	0.00459961	0.00361328	0.00314453
12	0.0323242	0.0335254	0.0293164	0.0276074	0.00598633	0.00601562	0.00425781	0.00404297
13	0.0297266	0.0276855	0.0293457	0.0278711	0.00535156	0.00530273	0.00519531	0.00441406
14	0.0312012	0.031543	0.0287988	0.0280078	0.00644531	0.00630859	0.00529297	0.00546875
15	0.0260937	0.0260352	0.029082	0.0285645	0.00503906	0.00512695	0.00592773	0.0055957
16	0.0236035	0.0228125	0.027334	0.0283008	0.00490234	0.00520508	0.00599609	0.00558594
17	0.0176953	0.0170996	0.0253223	0.0262891	0.00363281	0.00334961	0.00608398	0.00601562
18	0.0124121	0.0122754	0.022627	0.0237793	0.00245117	0.0025293	0.0046582	0.00555664
19	0.00764648	0.00708984	0.0204297	0.0216504	0.00176758	0.00148437	0.00459961	0.00494141
20	0.0047168	0.00433594	0.0169336	0.0183301	0.00111328	0.00101562	0.0040625	0.00417969
21	0.00222656	0.00209961	0.0146484	0.0155078	0.000371094	0.000419922	0.00336914	0.00359375
22	0.000966797	0.0009375	0.013125	0.0134961	0.000302734	0.000205078	0.00311523	0.00280273
23	0.000283203	0.0003125	0.0114648	0.0122461	0.000146484	4.88281e-05	0.0022168	0.00244141
24	9.76562e-05	0.000136719	0.00925781	0.0101074	3.90625e-05	1.95312e-05	0.00195312	0.00227539
25	3.90625e-05	1.95312e-05	0.00804687	0.0090332	0	0	0.00174805	0.00204102
26	0	9.76562e-06	0.00704102	0.0078125	0	0	0.00147461	0.00168945
27	0	0	0.00608398	0.00649414	0	0	0.00119141	0.00130859
28	0	0	0.00505859	0.00546875	0	0	0.00113281	0.00102539
29	0	0	0.00442383	0.00472656	0	0	0.000957031	0.000957031
30	0	0	0.00379883	0.00435547	0	0	0.000917969	0.000966797
31	0	0	0.0024707	0.00349609	0	0	0.000595703	0.000878906

